application_name,application_name_lower,tool_slug,tool_name,alias_source,category,free,website,supported_os
ImmyBot,immybot,immybot,ImmyBot,Name,RMM,Trial Available,https://www.immy.bot/,Windows
ImmyBot agent executable (verified via official documentation),immybot agent executable (verified via official documentation),immybot,ImmyBot,PEMetadata.Description,RMM,Trial Available,https://www.immy.bot/,Windows
ImmyBot ephemeral agent for script execution (verified via official documentation),immybot ephemeral agent for script execution (verified via official documentation),immybot,ImmyBot,PEMetadata.Description,RMM,Trial Available,https://www.immy.bot/,Windows
ImmyBot installer MSI (verified via VirusTotal),immybot installer msi (verified via virustotal),immybot,ImmyBot,PEMetadata.Description,RMM,Trial Available,https://www.immy.bot/,Windows
ImmyBot updater executable (verified via official documentation),immybot updater executable (verified via official documentation),immybot,ImmyBot,PEMetadata.Description,RMM,Trial Available,https://www.immy.bot/,Windows
Impero Connect,impero connect,imperoconnect,Impero Connect,Name,RMM,,,
InstallShield Setup,installshield setup,manageengine_servicedesk_plus,ManageEngine ServiceDesk Plus,PEMetadata.OriginalFileName,RMM,Trial Available,https://www.manageengine.com/products/service-desk/,Windows | Linux
InstallShield wrapper executable (observed in VT sandbox),installshield wrapper executable (observed in vt sandbox),manageengine_servicedesk_plus,ManageEngine ServiceDesk Plus,PEMetadata.Description,RMM,Trial Available,https://www.manageengine.com/products/service-desk/,Windows | Linux
Instant Housecall,instant housecall,instant_housecall,Instant Housecall,Name,RMM,,https://instanthousecall.com/,
Instant Housecall,instant housecall,instanthousecall,Instant Housecall,Name,RMM,,https://instanthousecall.com/,
Insync,insync,insync,Insync,Name,RAT,,,
IntelliAdmin Remote Control,intelliadmin remote control,intelliadmin_remote_control,IntelliAdmin Remote Control,Name,RMM,,http://www.intelliadmin.com/index.php/remote-control/,
Iperius Remote,iperius remote,iperius_remote,Iperius Remote,Name,RMM,,https://www.iperiusremote.com/,
ISL Light,isl light,isl_light,ISL Light,Name,RMM,,https://www.islonline.com/downloads/isl-light.htm,
ISL Online,isl online,isl_online,ISL Online,Name,RMM,,https://www.islonline.com/,Windows
ISL Online,isl online,islonline,ISL Online,Name,RMM,,https://www.islonline.com/,
Itarian,itarian,itarian,Itarian,Name,RMM,,https://www.itarian.com/rmm/,
ITSupport247 (ConnectWise),itsupport247 (connectwise),itsupport247_(connectwise),ITSupport247 (ConnectWise),Name,RMM,,https://control.itsupport247.net/,Windows
ITSupport247 (ConnectWise),itsupport247 (connectwise),itsupport247connectwise,ITSupport247 (ConnectWise),Name,RMM,,https://control.itsupport247.net/,
Ivanti Remote Control,ivanti remote control,ivanti_remote_control,Ivanti Remote Control,Name,RMM,,https://www.ivanti.com/use-cases/remote-control-all-of-my-devices-worldwide,
JollysFastVNC,jollysfastvnc,jollysfastvnc,JollysFastVNC,Name,RAT,,https://www.jinx.de/JollysFastVNC.html,
Jump Cloud,jump cloud,jump_cloud,Jump Cloud,Name,RMM,,https://jumpcloud.com/platform/remote-assistance,
Jump Desktop,jump desktop,jump_desktop,Jump Desktop,Name,RMM,,https://jumpdesktop.com/,
Kabuto,kabuto,kabuto,Kabuto,Name,RMM,,,
Kaseya (VSA),kaseya (vsa),kaseya,Kaseya (VSA),Name,RMM,,https://www.kaseya.com/,Windows
KHelpDesk,khelpdesk,khelpdesk,KHelpDesk,Name,RMM,,https://www.khelpdesk.com.br/,
KickIdler,kickidler,kickidler,KickIdler,Name,RMM,,https://www.kickidler.com/,
KiTTY,kitty,kitty,KiTTY,Name,RAT,,https://www.9bis.net/kitty/,
Komari,komari,komari,Komari,Name,RMM,true,https://github.com/komari-monitor/komari,Windows | Linux
Koofr,koofr,koofr,Koofr,Name,RAT,,,
LabTeach (Connectwise Automate),labteach (connectwise automate),labteachconnectwiseautomate,LabTeach (Connectwise Automate),Name,RMM,,https://www.connectwise.com/platform/automate,Windows
LabTech RMM (Now ConnectWise Automate),labtech rmm (now connectwise automate),labtech_rmm_(now_connectwise_automate),LabTech RMM (Now ConnectWise Automate),Name,RMM,,https://www.connectwise.com/platform/automate,
LANDesk,landesk,landesk,LANDesk,Name,RMM,,https://www.landesk.com/,
Laplink Everywhere,laplink everywhere,laplink_everywhere,Laplink Everywhere,Name,RMM,,https://everywhere.laplink.com/,
Laplink Gold,laplink gold,laplink_gold,Laplink Gold,Name,RMM,,https://web.laplink.com/product/laplink-gold,
Level,level,level,Level,Name,RMM,Free,https://level.io/,Windows
Level.io,level.io,level.io,Level.io,Name,RMM,,https://level.io/,
Level.io,level.io,levelio,Level.io,Name,RMM,,https://level.io/,Windows
Lite Manager,lite manager,lite_manager,Lite Manager,Name,RMM,,https://www.litemanager.com/,
LiteManager,litemanager,litemanager,LiteManager,Name,RMM,,https://www.litemanager.com/,
LMIGuardianSvc,lmiguardiansvc,logmein,LogMeIn,PEMetadata.Product,RMM,,https://www.logmein.com/,
LogMeIn,logmein,logmein,LogMeIn,Name,RMM,,https://www.logmein.com/,
LogMeIn rescue,logmein rescue,logmein_rescue,LogMeIn rescue,Name,RMM,,https://www.logmein.com/products/rescue,
Lunixar,lunixar,lunixar,Lunixar,Name,RMM,,https://lunixar.com/en/,Windows
Manage Engine (Desktop Central),manage engine (desktop central),manage_engine_(desktop_central),Manage Engine (Desktop Central),Name,RMM,,https://desktopcentral.manageengine.com,
ManageEngine,manageengine,manageengine,ManageEngine,Name,RMM,,https://www.manageengine.com/,
ManageEngine RMM Central,manageengine rmm central,manageengine_rmm_central,ManageEngine RMM Central,Name,RMM,,https://www.manageengine.com/remote-monitoring-management/,
ManageEngine ServiceDesk Plus,manageengine servicedesk plus,manageengine_servicedesk_plus,ManageEngine ServiceDesk Plus,Name,RMM,Trial Available,https://www.manageengine.com/products/service-desk/,Windows | Linux
ManageEngine ServiceDesk Plus binary installer component,manageengine servicedesk plus binary installer component,manageengine_servicedesk_plus,ManageEngine ServiceDesk Plus,PEMetadata.Description,RMM,Trial Available,https://www.manageengine.com/products/service-desk/,Windows | Linux
ManageEngine ServiceDesk Plus installer (verified via VirusTotal),manageengine servicedesk plus installer (verified via virustotal),manageengine_servicedesk_plus,ManageEngine ServiceDesk Plus,PEMetadata.Description,RMM,Trial Available,https://www.manageengine.com/products/service-desk/,Windows | Linux
MEGAsync,megasync,megasync,MEGAsync,Name,RAT,,https://mega.io/desktop,
MeshCentral,meshcentral,meshcentral,MeshCentral,Name,RMM,Yes,https://meshcentral.com/,Windows | Linux | MacOS | FreeBSD
MeshCentral Background Service Agent,meshcentral background service agent,meshcentral,MeshCentral,PEMetadata.Description,RMM,Yes,https://meshcentral.com/,Windows | Linux | MacOS | FreeBSD
Microsoft Quick Assist,microsoft quick assist,microsoft_quick_assist,Microsoft Quick Assist,Name,RAT,,https://support.microsoft.com/windows/solve-pc-problems-remotely-using-quick-assist-b077e31a-16f4-2529-1a47-21f6a9040bf3,
Microsoft RDP,microsoft rdp,microsoft_rdp,Microsoft RDP,Name,RAT,,https://learn.microsoft.com/en-us/previous-versions/remote-desktop-client/remote-desktop-windows-urdc,Windows
Microsoft TSC,microsoft tsc,microsoft_tsc,Microsoft TSC,Name,RMM,,,
Mikogo,mikogo,mikogo,Mikogo,Name,RMM,,,
MioNet (Also known as WD Anywhere Access),mionet (also known as wd anywhere access),mionet_(also_known_as_wd_anywhere_access),MioNet (Also known as WD Anywhere Access),Name,RMM,,,
MioNet (WD Anywhere Access),mionet (wd anywhere access),mionet_(wd_anywhere_access),MioNet (WD Anywhere Access),Name,RMM,,,
Miradore,miradore,miradore,Miradore,Name,RMM,Free tier available,https://www.miradore.com/,Windows | Mac | Linux | iOS | Android
Miradore installer MSI (observed renamed in phishing campaigns - verified via VirusTotal),miradore installer msi (observed renamed in phishing campaigns - verified via virustotal),miradore,Miradore,PEMetadata.Description,RMM,Free tier available,https://www.miradore.com/,Windows | Mac | Linux | iOS | Android
MobaXterm,mobaxterm,mobaxterm,MobaXterm,Name,RAT,,https://mobaxterm.mobatek.net/,
Mocha VNC Lite,mocha vnc lite,mocha_vnc_lite,Mocha VNC Lite,Name,RAT,,,
Mouse Without Borders,mouse without borders,mousewithoutborders,Mouse Without Borders,Name,RAT,true,https://www.microsoft.com/en-us/download/details.aspx?id=35460,Windows
MouseWithoutBorders,mousewithoutborders,mousewithoutborders,Mouse Without Borders,PEMetadata.OriginalFileName,RAT,true,https://www.microsoft.com/en-us/download/details.aspx?id=35460,Windows
mRemoteNG,mremoteng,mremoteng,mRemoteNG,Name,RAT,,https://mremoteng.org/,
MSP360,msp360,msp360,MSP360,Name,RMM,,https://www.msp360.com/,
mstsc,mstsc,mstsc,mstsc,Name,RAT,,,
MultCloud,multcloud,multcloud,MultCloud,Name,RAT,,https://www.multcloud.com/,
MyGreenPC,mygreenpc,mygreenpc,MyGreenPC,Name,RMM,,https://mygreenpc.com/,
MyIVO,myivo,myivo,MyIVO,Name,RMM,,,
N-Able Advanced Monitoring Agent,n-able advanced monitoring agent,n-able_advanced_monitoring_agent,N-Able Advanced Monitoring Agent,Name,RMM,,https://www.n-able.com/features/advanced-monitoring-agent,
N-Able Advanced Monitoring Agent,n-able advanced monitoring agent,n-ableadvancedmonitoringagent,N-Able Advanced Monitoring Agent,Name,RMM,,https://www.n-able.com/features/advanced-monitoring-agent,
N-ABLE Remote Access Software,n-able remote access software,n-able_remote_access_software,N-ABLE Remote Access Software,Name,RMM,,https://www.n-able.com/features/remote-access,
Naverisk,naverisk,naverisk,Naverisk,Name,RMM,,https://www.naverisk.com/,
Net Monitor for Employees,net monitor for employees,netmonitor,Net Monitor for Employees,Name,RMM,true,https://networklookout.com/,Windows | MacOS | Linux
NetBird,netbird,netbird,NetBird,Name,RAT,Yes (Open Source),https://netbird.io/,Windows | Linux | macOS | Android | iOS
NetBird client binary for Linux/macOS,netbird client binary for linux/macos,netbird,NetBird,PEMetadata.Description,RAT,Yes (Open Source),https://netbird.io/,Windows | Linux | macOS | Android | iOS
NetBird client executable for Windows,netbird client executable for windows,netbird,NetBird,PEMetadata.Description,RAT,Yes (Open Source),https://netbird.io/,Windows | Linux | macOS | Android | iOS
NetBird UI executable for Windows,netbird ui executable for windows,netbird,NetBird,PEMetadata.Description,RAT,Yes (Open Source),https://netbird.io/,Windows | Linux | macOS | Android | iOS
NetLock RMM,netlock rmm,netlock_rmm,NetLock RMM,Name,RMM,,https://www.netlockrmm.com/,Windows | Linux | MacOS
Netop,netop,netop,Netop,Name,RMM,,https://netop.com/,Windows
Netop Remote Control (aka Impero Connect),netop remote control (aka impero connect),netop_remote_control_(aka_impero_connect),Netop Remote Control (aka Impero Connect),Name,RMM,,https://netop.com/,
Netop Remote Control (Impero Connect),netop remote control (impero connect),netop_remote_control_(impero_connect),Netop Remote Control (Impero Connect),Name,RMM,,https://netop.com/,
Netreo,netreo,netreo,Netreo,Name,RMM,,https://docs.netreo.com/,
NetSupport Manager,netsupport manager,netsupport_manager,NetSupport Manager,Name,RMM,,https://www.netsupportmanager.com/,
NetSupport Manager,netsupport manager,netsupportmanager,NetSupport Manager,Name,RMM,,https://www.netsupportmanager.com/,
Neturo,neturo,neturo,Neturo,Name,RMM,,,Windows
Netviewer,netviewer,netviewer,Netviewer,Name,RMM,,,
Netviewer (GoToMeet),netviewer (gotomeet),netviewer_(gotomeet),Netviewer (GoToMeet),Name,RMM,,https://www.goto.com/meeting/join,
ngrok,ngrok,ngrok,ngrok,Name,RAT,,https://ngrok.com/,
NinjaOne (formerly NinjaRMM),ninjaone (formerly ninjarmm),ninjaone_(formerly_ninjarmm),NinjaOne (formerly NinjaRMM),Name,RMM,,https://www.ninjaone.com/rmm/,
NinjaRMM,ninjarmm,ninjarmm,NinjaRMM,Name,RMM,,https://www.ninjaone.com/rmm/,
NoMachine,nomachine,nomachine,NoMachine,Name,RAT,,https://www.nomachine.com/,
NordLocker,nordlocker,nordlocker,NordLocker,Name,RAT,,https://nordlocker.com/,
NoteOn-desktop sharing,noteon-desktop sharing,noteon-desktop_sharing,NoteOn-desktop sharing,Name,RAT,,,
NTR Remote,ntr remote,ntr_remote,NTR Remote,Name,RMM,,,Windows
NVDA (Non-Visual Desktop Access),nvda (non-visual desktop access),nvda,NVDA (Non-Visual Desktop Access),Name,RMM,true,https://www.nvaccess.org/,Windows
NVDA screen reader executable,nvda screen reader executable,nvda,NVDA (Non-Visual Desktop Access),PEMetadata.Description,RMM,true,https://www.nvaccess.org/,Windows
NVDA service executable for secure screens,nvda service executable for secure screens,nvda,NVDA (Non-Visual Desktop Access),PEMetadata.Description,RMM,true,https://www.nvaccess.org/,Windows
