slug,name,url,description
distant_desktop,Distant Desktop,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/distant_desktop_processes_sigma.yml,Detects potential processes activity of Distant Desktop RMM tool
domotz,Domotz,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/domotz_network_sigma.yml,Detects potential network activity of Domotz RMM tool
domotz,Domotz,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/domotz_processes_sigma.yml,Detects potential processes activity of Domotz RMM tool
dragondisk,DragonDisk,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/dragondisk_processes_sigma.yml,Detects potential processes activity of DragonDisk RMM tool
duplicati,Duplicati,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/duplicati_processes_sigma.yml,Detects potential processes activity of Duplicati RMM tool
dw_service,DW Service,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/dw_service_network_sigma.yml,Detects potential network activity of DW Service RMM tool
dw_service,DW Service,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/dw_service_processes_sigma.yml,Detects potential processes activity of DW Service RMM tool
echoware,Echoware,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/echoware_processes_sigma.yml,Detects potential processes activity of Echoware RMM tool
ehorus,eHorus,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/ehorus_network_sigma.yml,Detects potential network activity of eHorus RMM tool
ehorus,eHorus,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/ehorus_processes_sigma.yml,Detects potential processes activity of eHorus RMM tool
electric_ai_(kaseya),Electric AI (Kaseya),https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/electric_ai__kaseya__network_sigma.yml,Detects potential network activity of Electric AI (Kaseya) RMM tool
emco_remote_console,EMCO Remote Console,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/emco_remote_console_network_sigma.yml,Detects potential network activity of EMCO Remote Console RMM tool
emco_remote_console,EMCO Remote Console,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/emco_remote_console_processes_sigma.yml,Detects potential processes activity of EMCO Remote Console RMM tool
encapto,Encapto,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/encapto_network_sigma.yml,Detects potential network activity of Encapto RMM tool
ericom_accessnow,Ericom AccessNow,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/ericom_accessnow_network_sigma.yml,Detects potential network activity of Ericom AccessNow RMM tool
ericom_accessnow,Ericom AccessNow,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/ericom_accessnow_processes_sigma.yml,Detects potential processes activity of Ericom AccessNow RMM tool
ericom_connect,Ericom Connect,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/ericom_connect_network_sigma.yml,Detects potential network activity of Ericom Connect RMM tool
ericom_connect,Ericom Connect,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/ericom_connect_processes_sigma.yml,Detects potential processes activity of Ericom Connect RMM tool
eset_remote_administrator,ESET Remote Administrator,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/eset_remote_administrator_network_sigma.yml,Detects potential network activity of ESET Remote Administrator RMM tool
eset_remote_administrator,ESET Remote Administrator,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/eset_remote_administrator_processes_sigma.yml,Detects potential processes activity of ESET Remote Administrator RMM tool
extraputty,ExtraPuTTY,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/extraputty_processes_sigma.yml,Detects potential processes activity of ExtraPuTTY RMM tool
ezhelp,ezHelp,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/ezhelp_network_sigma.yml,Detects potential network activity of ezHelp RMM tool
ezhelp,ezHelp,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/ezhelp_processes_sigma.yml,Detects potential processes activity of ezHelp RMM tool
fastviewer,FastViewer,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/fastviewer_network_sigma.yml,Detects potential network activity of FastViewer RMM tool
fastviewer,FastViewer,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/fastviewer_processes_sigma.yml,Detects potential processes activity of FastViewer RMM tool
fixme,FixMe.it,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/fixme.it_network_sigma.yml,Detects potential network activity of FixMe.it RMM tool
fixme,FixMe.it,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/fixme.it_processes_sigma.yml,Detects potential processes activity of FixMe.it RMM tool
fleetdeck,FleetDeck.io,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/fleetdeck_network_sigma.yml,Detects potential network activity of FleetDeck.io RMM tool
fleetdeck,FleetDeck.io,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/fleetdeck_processes_sigma.yml,Detects potential processes activity of FleetDeck.io RMM tool
fortra,Fortra,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/fortra_network_sigma.yml,Detects potential network activity of Fortra RMM tool
freenx,FreeNX,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/freenx_processes_sigma.yml,Detects potential processes activity of FreeNX RMM tool
freshservice,Freshservice,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/freshservice_files_sigma.yml,Detects potential files activity of Freshservice RMM tool
freshservice,Freshservice,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/freshservice_network_sigma.yml,Detects potential network activity of Freshservice RMM tool
freshservice,Freshservice,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/freshservice_processes_sigma.yml,Detects potential processes activity of Freshservice RMM tool
freshservice,Freshservice,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/freshservice_registry_sigma.yml,Detects potential registry activity of Freshservice RMM tool
gatherplace-desktop_sharing,GatherPlace-desktop sharing,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/gatherplace-desktop_sharing_network_sigma.yml,Detects potential network activity of GatherPlace-desktop sharing RMM tool
gatherplace-desktop_sharing,GatherPlace-desktop sharing,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/gatherplace-desktop_sharing_processes_sigma.yml,Detects potential processes activity of GatherPlace-desktop sharing RMM tool
getscreen,GetScreen,https://github.com/magicsword-io/LOLRMM/blob/main/detections/sigma/getscreen_network_sigma.yml,Detects potential network activity of GetScreen RMM tool
